id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,name
106000,3.0,6.0,89.0,56.0,38.0,9.0,13.0,9.0,15.0,Damir Dzumhur
105554,9.0,7.0,151.0,95.0,62.0,26.0,21.0,11.0,16.0,Daniel Evans
106421,80.0,21.0,600.0,374.0,297.0,115.0,107.0,21.0,36.0,Daniil Medvedev
105676,8.0,11.0,180.0,107.0,76.0,35.0,26.0,7.0,13.0,David Goffin
133430,32.0,21.0,338.0,205.0,150.0,67.0,51.0,30.0,38.0,Denis Shapovalov
110602,4.0,3.0,93.0,64.0,42.0,11.0,15.0,3.0,8.0,Dennis Novak
106043,1.0,6.0,253.0,177.0,107.0,41.0,44.0,14.0,28.0,Diego Schwartzman
106233,24.0,7.0,381.0,255.0,181.0,75.0,65.0,17.0,29.0,Dominic Thiem
136440,9.0,7.0,153.0,94.0,68.0,28.0,27.0,7.0,14.0,Dominik Koepfer
105583,23.0,13.0,529.0,376.0,257.0,83.0,84.0,37.0,51.0,Dusan Lajovic
106078,10.0,10.0,234.0,147.0,79.0,37.0,29.0,22.0,38.0,Egor Gerasimov
111200,5.0,6.0,115.0,67.0,41.0,21.0,19.0,5.0,13.0,Elias Ymer
200325,14.0,14.0,314.0,213.0,136.0,46.0,43.0,25.0,37.0,Emil Ruusuvuori
104926,17.0,20.0,415.0,227.0,168.0,102.0,66.0,18.0,29.0,Fabio Fognini
105948,2.0,3.0,98.0,67.0,40.0,14.0,13.0,11.0,16.0,Federico Coria
103852,48.0,22.0,362.0,200.0,161.0,92.0,62.0,16.0,24.0,Feliciano Lopez
200000,45.0,10.0,358.0,225.0,172.0,76.0,65.0,12.0,20.0,Felix Auger Aliassime
105936,26.0,11.0,379.0,232.0,173.0,72.0,60.0,21.0,33.0,Filip Krajinovic
